,chemical_symbol,atomic_weight,atomic_number,orbitals_energy,atomic_radius,atomic_radius_empirical,boiling_point,hardness_brinell,bulk_modulus,coefficient_linear_thermal_expansion,common_oxidation_states,critical_temperature,density_solid_phase,electrical_resistivity,electron_configuration,ionic_radius,liquid_range,melting_point,mendeleev_number,hardness_mineral,molar_volume,chemical_name,oxidation_states,poisson_ratio,reflectivity,refractive_index,shear_modulus,atomic_radius_shannon,superconduction_temperature,thermal_conductivity,vdw_radius,sound_velocity,hardness_vickers,electronegativity_pauling,youngs_modulus,metallic_radius,iupac_ordering,ionization_energy,electron_affinity,ICSD_oxidation_states,NMR_quadrupole_moment
90,Pa,231.03588,91,"{'1s': -3606.333629, '2p': -603.470278, '2s': -623.870431, '3d': -127.781168, '3p': -146.485678, '3s': -156.466742, '4d': -25.933121, '4f': -14.105747, '4p': -34.48293, '4s': -39.064507, '5d': -3.659928, '5f': -0.316813, '5p': -6.709821, '5s': -8.463463, '6d': -0.142481, '6p': -0.7997559999999999, '6s': -1.287232, '7s': -0.129653}",1.8,,,,,,[5],,15370 ,18 ,[Rn].5f<sup>2</sup>.6d<sup>1</sup>.7s<sup>2</sup>,"{'3': 1.16, '4': 1.04, '5': 0.92}",,1841 ,46.0,,15.18 ,Protactinium,"[3, 4, 5]",,,,,"{'3': {'VI': {'': {'crystal_radius': 1.18, 'ionic_radius': 1.04}}}, '4': {'VI': {'': {'crystal_radius': 1.04, 'ionic_radius': 0.9}}, 'VIII': {'': {'crystal_radius': 1.15, 'ionic_radius': 1.01}}}, '5': {'VI': {'': {'crystal_radius': 0.92, 'ionic_radius': 0.78}}, 'VIII': {'': {'crystal_radius': 1.05, 'ionic_radius': 0.91}}, 'IX': {'': {'crystal_radius': 1.09, 'ionic_radius': 0.9500000000000001}}}}",1.4 ,47 ,2.1,,,1.5,,1.642,30.0,"[5.89, 11.9, 18.6, 30.9, 44.3, 72.0, 85.1, 98.9, 111.0, 137.0, 153.0, 187.0, 203.0, 292.0, 316.0, 342.0, 369.0, 395.0, 423.0, 460.0, 488.0, 518.0, 546.0, 690.0, 720.0, 760.0, 790.0, 880.0, 920.0, 1020.0, 1060.0, 1150.0, 1220.0, 1300.0, 1370.0, 1450.0, 1520.0, 1600.0, 1670.0, 1760.0, 1830.0, 1910.0, 1980.0, 2060.0, 2130.0, 2483.0, 2550.0, 2620.0, 2696.0, 2766.0, 2837.0, 2968.0, 3040.0, 3119.0, 3193.0, 3488.0, 3558.0, 3637.0, 3709.0, 4077.0, 4161.0, 4370.0, 4454.0, 7181.0, 7341.0, 7510.0, 7690.0, 7870.0, 8040.0, 8410.0, 8590.0, 8780.0, 8960.0, 9460.0, 9620.0, 9790.0, 9950.0, 11100.0, 11290.0, 11660.0, 11840.0, 24660.0, 25080.0, 25540.0, 25970.0, 30230.0, 30800.0, 31520.0, 31971.6, 126296.6, 128507.1]",0.55,,
91,U,238.02891,92,"{'1s': -3689.355141, '2p': -619.10855, '2s': -639.778728, '3d': -131.977358, '3p': -150.97898, '3s': -161.118073, '4d': -27.123212, '4f': -15.02746, '4p': -35.853321, '4s': -40.528084, '5d': -3.866175, '5f': -0.366543, '5p': -7.018092, '5s': -8.824089, '6d': -0.14319, '6p': -0.822538, '6s': -1.325976, '7s': -0.13094799999999998}",1.75,,4200 ,2400 ,100 ,13.9 ,[6],,19050 ,28 ,[Rn].5f<sup>3</sup>.6d<sup>1</sup>.7s<sup>2</sup>,"{'3': 1.165, '4': 1.03, '5': 0.9, '6': 0.87}",2794.7 ,1405.3 ,45.0,6.0,12.49 ,Uranium,"[3, 4, 5, 6]",0.23,,,111 ,"{'3': {'VI': {'': {'crystal_radius': 1.165, 'ionic_radius': 1.025}}}, '4': {'VI': {'': {'crystal_radius': 1.03, 'ionic_radius': 0.89}}, 'VII': {'': {'crystal_radius': 1.09, 'ionic_radius': 0.9500000000000001}}, 'VIII': {'': {'crystal_radius': 1.1400000000000001, 'ionic_radius': 1.0}}, 'IX': {'': {'crystal_radius': 1.19, 'ionic_radius': 1.05}}, 'XII': {'': {'crystal_radius': 1.31, 'ionic_radius': 1.17}}}, '5': {'VI': {'': {'crystal_radius': 0.9, 'ionic_radius': 0.76}}, 'VII': {'': {'crystal_radius': 0.98, 'ionic_radius': 0.84}}}, '6': {'II': {'': {'crystal_radius': 0.59, 'ionic_radius': 0.45}}, 'IV': {'': {'crystal_radius': 0.66, 'ionic_radius': 0.52}}, 'VI': {'': {'crystal_radius': 0.87, 'ionic_radius': 0.73}}, 'VII': {'': {'crystal_radius': 0.9500000000000001, 'ionic_radius': 0.81}}, 'VIII': {'': {'crystal_radius': 1.0, 'ionic_radius': 0.86}}}}",0.2 ,27 ,2.41,3155 ,1960,1.38,208 ,1.542,29.0,"[6.19405, 11.6, 19.8, 36.7, 46.0, 62.0, 89.0, 101.0, 116.0, 128.9, 158.0, 173.0, 210.0, 227.0, 323.0, 348.0, 375.0, 402.0, 431.0, 458.0, 497.0, 525.0, 557.0, 585.0, 730.0, 770.0, 800.0, 840.0, 930.0, 970.0, 1070.0, 1110.0, 1210.0, 1290.0, 1370.0, 1440.0, 1520.0, 1590.0, 1670.0, 1750.0, 1830.0, 1910.0, 1990.0, 2070.0, 2140.0, 2220.0, 2578.0, 2646.0, 2718.0, 2794.0, 2867.0, 2938.0, 3073.0, 3147.0, 3228.0, 3301.0, 3602.0, 3675.0, 3753.0, 3827.0, 4214.0, 4299.0, 4513.0, 4598.0, 7393.0, 7550.0, 7730.0, 7910.0, 8090.0, 8260.0, 8650.0, 8830.0, 9030.0, 9210.0, 9720.0, 9870.0, 10040.0, 10200.0, 11410.0, 11600.0, 11990.0, 12160.0, 25260.0, 25680.0, 26150.0, 26590.0, 31060.0, 31640.0, 32400.0, 32836.5, 129570.3, 131821.0]",0.53,"[3, 4, 5, 6]",
92,Np,237.0,93,,1.75,,4273 ,,,,[5],,20450 ,120 ,[Rn].5f<sup>4</sup>.6d<sup>1</sup>.7s<sup>2</sup>,"{'2': 1.24, '3': 1.15, '4': 1.01, '5': 0.89, '6': 0.86, '7': 0.85}",3363 ,910 ,44.0,,11.59 ,Neptunium,"[3, 4, 5, 6, 7]",,,,,"{'2': {'VI': {'': {'crystal_radius': 1.24, 'ionic_radius': 1.1}}}, '3': {'VI': {'': {'crystal_radius': 1.15, 'ionic_radius': 1.01}}}, '4': {'VI': {'': {'crystal_radius': 1.01, 'ionic_radius': 0.87}}, 'VIII': {'': {'crystal_radius': 1.12, 'ionic_radius': 0.98}}}, '5': {'VI': {'': {'crystal_radius': 0.89, 'ionic_radius': 0.75}}}, '6': {'VI': {'': {'crystal_radius': 0.86, 'ionic_radius': 0.72}}}, '7': {'VI': {'': {'crystal_radius': 0.85, 'ionic_radius': 0.71}}}}",,6 ,2.39,,,1.36,,1.5030000000000001,28.0,"[6.26554, 11.5, 19.7, 33.8, 48.0, 65.0, 92.0, 107.0, 121.0, 136.0, 151.0, 179.0, 196.0, 233.0, 252.0, 355.0, 382.0, 408.0, 438.0, 466.0, 495.0, 535.0, 565.0, 596.0, 626.0, 770.0, 810.0, 850.0, 880.0, 980.0, 1020.0, 1130.0, 1170.0, 1280.0, 1360.0, 1430.0, 1510.0, 1590.0, 1670.0, 1740.0, 1820.0, 1910.0, 1990.0, 2070.0, 2140.0, 2230.0, 2310.0, 2675.0, 2745.0, 2817.0, 2894.0, 2969.0, 3041.0, 3181.0, 3255.0, 3338.0, 3413.0, 3718.0, 3792.0, 3872.0, 3947.0, 4353.0, 4441.0, 4658.0, 4744.0, 7610.0, 7770.0, 7950.0, 8130.0, 8310.0, 8480.0, 8890.0, 9070.0, 9270.0, 9450.0, 9970.0, 10130.0, 10300.0, 10470.0, 11730.0, 11930.0, 12320.0, 12500.0, 25870.0, 26300.0, 26770.0, 27210.0, 31910.0, 32500.0, 33300.0, 33722.2, 132901.8, 135202.0]",0.48,,
93,Pu,244.0,94,,1.75,,3503 ,,,,[4],,19816 ,150 ,[Rn].5f<sup>6</sup>.7s<sup>2</sup>,"{'3': 1.1400000000000001, '4': 1.0, '5': 0.88, '6': 0.85}",2590.5 ,912.5 ,43.0,,12.29 ,Plutonium,"[3, 4, 5, 6, 7]",0.21,,,43 ,"{'3': {'VI': {'': {'crystal_radius': 1.1400000000000001, 'ionic_radius': 1.0}}}, '4': {'VI': {'': {'crystal_radius': 1.0, 'ionic_radius': 0.86}}, 'VIII': {'': {'crystal_radius': 1.1, 'ionic_radius': 0.96}}}, '5': {'VI': {'': {'crystal_radius': 0.88, 'ionic_radius': 0.74}}}, '6': {'VI': {'': {'crystal_radius': 0.85, 'ionic_radius': 0.71}}}}",,6 ,2.43,2260 ,,1.28,96 ,1.5230000000000001,27.0,"[6.02576, 11.5, 21.1, 35.0, 49.0, 80.0, 95.0, 109.0, 124.0, 139.0, 159.0, 179.0, 200.0, 219.0, 258.0, 278.0, 389.0, 416.0, 444.0, 474.0, 503.0, 532.0, 575.0, 605.0, 637.0, 668.0, 820.0, 850.0, 890.0, 930.0, 1030.0, 1070.0, 1180.0, 1220.0, 1340.0, 1420.0, 1500.0, 1580.0, 1660.0, 1740.0, 1820.0, 1890.0, 1990.0, 2070.0, 2150.0, 2230.0, 2310.0, 2390.0, 2774.0, 2844.0, 2918.0, 2997.0, 3072.0, 3146.0, 3290.0, 3366.0, 3449.0, 3527.0, 3836.0, 3911.0, 3993.0, 4068.0, 4496.0, 4585.0, 4807.0, 4890.0, 7830.0, 7990.0, 8170.0, 8360.0, 8540.0, 8710.0, 9130.0, 9310.0, 9520.0, 9700.0, 10230.0, 10390.0, 10570.0, 10730.0, 12060.0, 12260.0, 12660.0, 12840.0, 26480.0, 26920.0, 27400.0, 27840.0, 32800.0, 33400.0, 34100.0, 34625.8, 136299.2, 138646.0]",-0.5,,
94,Am,243.0,95,,1.75,,2880 ,,,,[3],,,,[Rn].5f<sup>7</sup>.7s<sup>2</sup>,"{'2': 1.4, '3': 1.115, '4': 0.99}",1431 ,1449 ,42.0,,17.63 ,Americium,"[2, 3, 4, 5, 6]",,,,,"{'2': {'VII': {'': {'crystal_radius': 1.35, 'ionic_radius': 1.21}}, 'VIII': {'': {'crystal_radius': 1.4, 'ionic_radius': 1.26}}, 'IX': {'': {'crystal_radius': 1.45, 'ionic_radius': 1.31}}}, '3': {'VI': {'': {'crystal_radius': 1.115, 'ionic_radius': 0.975}}, 'VIII': {'': {'crystal_radius': 1.23, 'ionic_radius': 1.09}}}, '4': {'VI': {'': {'crystal_radius': 0.99, 'ionic_radius': 0.85}}, 'VIII': {'': {'crystal_radius': 1.09, 'ionic_radius': 0.9500000000000001}}}}",0.6 ,10 ,2.44,,,1.3,,1.73,26.0,"[5.97381, 11.7, 21.7, 36.8, 50.0, 67.9, 95.0, 110.0, 125.0, 141.0, 163.0, 184.0, 206.0, 225.0, 242.0, 284.0, 305.0, 424.0, 451.0, 481.0, 511.0, 541.0, 571.0, 616.0, 646.0, 680.0, 711.0, 870.0, 900.0, 940.0, 980.0, 1090.0, 1130.0, 1240.0, 1280.0, 1410.0, 1490.0, 1570.0, 1650.0, 1730.0, 1820.0, 1900.0, 1980.0, 2070.0, 2160.0, 2240.0, 2320.0, 2410.0, 2480.0, 2874.0, 2946.0, 3021.0, 3101.0, 3178.0, 3251.0, 3402.0, 3479.0, 3563.0, 3641.0, 3956.0, 4033.0, 4115.0, 4191.0, 4642.0, 4733.0, 4960.0, 5050.0, 8040.0, 8210.0, 8390.0, 8590.0, 8770.0, 8950.0, 9380.0, 9560.0, 9770.0, 9960.0, 10490.0, 10650.0, 10830.0, 11000.0, 12400.0, 12600.0, 13000.0, 13190.0, 27110.0, 27550.0, 28040.0, 28500.0, 33700.0, 34300.0, 35100.0, 35549.4, 139769.5, 142161.0]",0.1,,
95,Cm,247.0,96,,,,3383 ,,,,[3],,13510 ,,[Rn].5f<sup>7</sup>.6d<sup>1</sup>.7s<sup>2</sup>,"{'3': 1.11, '4': 0.99}",1770 ,1613 ,41.0,,18.05 ,Curium,"[3, 4]",,,,,"{'3': {'VI': {'': {'crystal_radius': 1.11, 'ionic_radius': 0.97}}}, '4': {'VI': {'': {'crystal_radius': 0.99, 'ionic_radius': 0.85}}, 'VIII': {'': {'crystal_radius': 1.09, 'ionic_radius': 0.9500000000000001}}}}",,8.8 ,2.45,,,1.3,,1.7429999999999999,25.0,"[5.99141, 12.4, 20.1, 37.7, 51.0, 69.1, 97.0, 112.0, 128.0, 144.0, 167.0, 190.0, 213.0, 235.0, 253.0, 272.0, 311.0, 332.0, 460.0, 489.0, 518.0, 550.0, 580.0, 611.0, 657.0, 689.0, 723.0, 755.0, 910.0, 950.0, 990.0, 1030.0, 1140.0, 1180.0, 1300.0, 1340.0, 1480.0, 1560.0, 1650.0, 1730.0, 1810.0, 1890.0, 1980.0, 2060.0, 2160.0, 2240.0, 2320.0, 2410.0, 2490.0, 2580.0, 2976.0, 3050.0, 3125.0, 3207.0, 3284.0, 3360.0, 3515.0, 3593.0, 3679.0, 3758.0, 4078.0, 4156.0, 4239.0, 4317.0, 4791.0, 4880.0, 5110.0, 5200.0, 8270.0, 8440.0, 8620.0, 8820.0, 9000.0, 9180.0, 9630.0, 9820.0, 10020.0, 10220.0, 10760.0, 10920.0, 11100.0, 11270.0, 12740.0, 12950.0, 13350.0, 13550.0, 27740.0, 28180.0, 28700.0, 29100.0, 34600.0, 35200.0, 36000.0, 36493.0, 143299.6, 145743.0]",0.28,,
96,Bk,247.0,97,,,,,,,,[3],,14780 ,,[Rn].5f<sup>9</sup>.7s<sup>2</sup>,"{'3': 1.1, '4': 0.97}",,1259 ,40.0,,16.84 ,Berkelium,"[3, 4]",,,,,"{'3': {'VI': {'': {'crystal_radius': 1.1, 'ionic_radius': 0.96}}}, '4': {'VI': {'': {'crystal_radius': 0.97, 'ionic_radius': 0.8300000000000001}}, 'VIII': {'': {'crystal_radius': 1.07, 'ionic_radius': 0.93}}}}",,10 ,2.44,,,1.3,,1.703,24.0,"[6.19785, 11.9, 21.6, 36.0, 56.0, 70.1, 90.0, 114.0, 130.0, 147.0, 171.0, 195.0, 218.0, 240.0, 259.0, 279.0, 303.0, 339.0, 361.0, 497.0, 526.0, 557.0, 590.0, 621.0, 652.0, 700.0, 733.0, 768.0, 800.0, 960.0, 1000.0, 1040.0, 1080.0, 1200.0, 1240.0, 1360.0, 1410.0, 1550.0, 1630.0, 1720.0, 1800.0, 1890.0, 1970.0, 2050.0, 2140.0, 2240.0, 2320.0, 2410.0, 2490.0, 2580.0, 2670.0, 3080.0, 3154.0, 3232.0, 3315.0, 3393.0, 3469.0, 3630.0, 3709.0, 3797.0, 3877.0, 4202.0, 4281.0, 4365.0, 4445.0, 4940.0, 5040.0, 5270.0, 5360.0, 8500.0, 8670.0, 8850.0, 9050.0, 9240.0, 9420.0, 9880.0, 10070.0, 10280.0, 10480.0, 11020.0, 11190.0, 11380.0, 11550.0, 13090.0, 13300.0, 13720.0, 13910.0, 28380.0, 28800.0, 29300.0, 29800.0, 35500.0, 36200.0, 37000.0, 37457.6, 146904.7, 149398.0]",-1.72,,
97,Cf,251.0,98,,,,,,,,[3],,15100 ,,[Rn].5f<sup>10</sup>.7s<sup>2</sup>,"{'3': 1.09, '4': 0.961}",,1173 ,39.0,,16.50 ,Californium,"[2, 3, 4]",,,,,"{'3': {'VI': {'': {'crystal_radius': 1.09, 'ionic_radius': 0.9500000000000001}}}, '4': {'VI': {'': {'crystal_radius': 0.961, 'ionic_radius': 0.8210000000000001}}, 'VIII': {'': {'crystal_radius': 1.06, 'ionic_radius': 0.92}}}}",,,2.45,,,1.3,,1.8599999999999999,23.0,"[6.2816600000000005, 12.0, 22.4, 37.7, 51.9, 75.0, 91.0, 112.9, 133.0, 152.0, 178.0, 201.0, 225.0, 247.0, 265.0, 286.0, 310.0, 334.0, 368.0, 390.0, 536.0, 566.0, 597.0, 630.0, 662.0, 695.0, 744.0, 778.0, 814.0, 847.0, 1010.0, 1050.0, 1090.0, 1120.0, 1250.0, 1300.0, 1420.0, 1470.0, 1620.0, 1700.0, 1790.0, 1880.0, 1960.0, 2050.0, 2130.0, 2220.0, 2320.0, 2410.0, 2490.0, 2580.0, 2670.0, 2750.0, 3186.0, 3261.0, 3340.0, 3424.0, 3503.0, 3581.0, 3747.0, 3828.0, 3915.0, 3998.0, 4329.0, 4407.0, 4494.0, 4570.0, 5100.0, 5190.0, 5430.0, 5520.0, 8730.0, 8900.0, 9090.0, 9290.0, 9480.0, 9660.0, 10140.0, 10330.0, 10550.0, 10740.0, 11300.0, 11470.0, 11650.0, 11820.0, 13450.0, 13660.0, 14080.0, 14280.0, 29000.0, 29500.0, 30000.0, 30500.0, 36500.0, 37100.0, 37900.0, 38443.5, 150579.3, 153124.0]",-1.01,,
98,Es,252.0,99,,,,,,,,[3],,,,[Rn].5f<sup>11</sup>.7s<sup>2</sup>,,,1133 ,38.0,,28.52 ,Einsteinium,"[2, 3]",,,,,,,,2.45,,,1.3,,1.8599999999999999,22.0,"[6.36758, 12.2, 22.7, 38.8, 54.1, 71.0, 97.0, 112.9, 137.0, 157.0, 180.0, 206.0, 231.0, 252.0, 270.0, 294.0, 317.0, 342.0, 367.0, 398.0, 421.0, 576.0, 606.0, 638.0, 672.0, 705.0, 738.0, 790.0, 824.0, 861.0, 895.0, 1060.0, 1100.0, 1140.0, 1180.0, 1310.0, 1360.0, 1480.0, 1530.0, 1690.0, 1780.0, 1870.0, 1950.0, 2040.0, 2130.0, 2220.0, 2300.0, 2410.0, 2490.0, 2580.0, 2680.0, 2760.0, 2850.0, 3294.0, 3370.0, 3449.0, 3535.0, 3616.0, 3694.0, 3866.0, 3947.0, 4038.0, 4120.0, 4456.0, 4537.0, 4620.0, 4700.0, 5260.0, 5350.0, 5600.0, 5690.0, 8960.0, 9140.0, 9330.0, 9530.0, 9720.0, 9910.0, 10400.0, 10590.0, 10810.0, 11010.0, 11570.0, 11740.0, 11930.0, 12110.0, 13810.0, 14030.0, 14460.0, 14700.0, 29700.0, 30100.0, 30700.0, 31100.0, 37400.0, 38100.0, 38900.0, 39451.4, 154328.1, 156926.0]",-0.3,,
99,Fm,257.0,100,,,,,,,,[3],,,,[Rn].5f<sup>12</sup>.7s<sup>2</sup>,,,about 1800 ,37.0,,,Fermium,"[2, 3]",,,,,,,,2.45,,,1.3,,,21.0,"[6.5, 12.4, 23.2, 39.3, 55.0, 74.0, 93.0, 120.0, 136.0, 162.0, 185.0, 209.0, 237.0, 257.0, 276.0, 300.0, 326.0, 351.0, 377.0, 402.0, 430.0, 453.0, 616.0, 647.0, 680.0, 716.0, 749.0, 782.0, 837.0, 871.0, 909.0, 944.0, 1110.0, 1150.0, 1190.0, 1230.0, 1370.0, 1420.0, 1550.0, 1600.0, 1770.0, 1850.0, 1940.0, 2030.0, 2120.0, 2210.0, 2300.0, 2390.0, 2490.0, 2590.0, 2680.0, 2760.0, 2850.0, 2950.0, 3403.0, 3480.0, 3561.0, 3647.0, 3730.0, 3810.0, 3986.0, 4070.0, 4160.0, 4245.0, 4586.0, 4670.0, 4760.0, 4840.0, 5420.0, 5510.0, 5760.0, 5860.0, 9200.0, 9370.0, 9570.0, 9770.0, 9970.0, 10160.0, 10660.0, 10860.0, 11080.0, 11280.0, 11850.0, 12020.0, 12220.0, 12390.0, 14180.0, 14400.0, 14800.0, 15000.0, 30300.0, 30800.0, 31300.0, 31800.0, 38400.0, 39100.0, 40000.0, 40482.2, 158152.5, 160804.0]",0.35,,
100,Md,258.0,101,,,,,,,,[3],,,,[Rn].5f<sup>13</sup>.7s<sup>2</sup>,,,about 1100 ,36.0,,,Mendelevium,"[2, 3]",,,,,,,,2.46,,,1.3,,,20.0,"[6.58, 12.4, 24.3, 40.0, 54.1, 76.0, 96.0, 115.1, 143.9, 162.0, 187.0, 215.0, 240.0, 260.0, 282.0, 307.0, 334.0, 360.0, 386.0, 412.0, 438.0, 462.0, 486.0, 659.0, 690.0, 723.0, 760.0, 794.0, 828.0, 885.0, 920.0, 958.0, 994.0, 1160.0, 1210.0, 1250.0, 1290.0, 1430.0, 1480.0, 1620.0, 1660.0, 1840.0, 1930.0, 2020.0, 2110.0, 2200.0, 2290.0, 2390.0, 2480.0, 2580.0, 2680.0, 2760.0, 2860.0, 2950.0, 3050.0, 3513.0, 3592.0, 3675.0, 3762.0, 3845.0, 3926.0, 4109.0, 4194.0, 4286.0, 4371.0, 4720.0, 4800.0, 4890.0, 4970.0, 5580.0, 5680.0, 5930.0, 6030.0, 9430.0, 9620.0, 9810.0, 10020.0, 10220.0, 10410.0, 10930.0, 11130.0, 11350.0, 11560.0, 12130.0, 12310.0, 12500.0, 12680.0, 14560.0, 14800.0, 15200.0, 15400.0, 31000.0, 31500.0, 32000.0, 32500.0, 39500.0, 40100.0, 41000.0, 41548.0, None, 164764.0]",0.98,,
101,No,259.0,102,,,,,,,,[3],,,,[Rn].5f<sup>14</sup>.7s<sup>2</sup>,,,about 1100 ,35.0,,,Nobelium,"[2, 3]",,,,,"{'2': {'VI': {'': {'crystal_radius': 1.24, 'ionic_radius': 1.1}}}}",,,2.46,,,1.3,,,19.0,"[6.62621, 12.93, 25.8, 41.5, 60.0, 74.0, 97.0, 119.0, 140.0, 170.0, 187.0, 216.0, 246.0, 267.0, 285.0, 312.0, 341.0, 367.0, 394.0, 422.0, 448.0, 475.0, 496.0, 520.0, 701.0, 734.0, 768.0, 805.0, 840.0, 875.0, 934.0, 969.0, 1010.0, 1045.0, 1220.0, 1260.0, 1300.0, 1350.0, 1500.0, 1550.0, 1680.0, 1730.0, 1920.0, 2010.0, 2110.0, 2200.0, 2290.0, 2380.0, 2470.0, 2570.0, 2680.0, 2760.0, 2860.0, 2950.0, 3050.0, 3140.0, 3627.0, 3705.0, 3790.0, 3878.0, 3962.0, 4045.0, 4234.0, 4320.0, 4413.0, 4500.0, 4850.0, 4930.0, 5030.0, 5110.0, 5750.0, 5850.0, 6110.0, 6210.0, 9680.0, 9860.0, 10060.0, 10270.0, 10470.0, 10660.0, 11200.0, 11410.0, 11630.0, 11840.0, 12420.0, 12600.0, 12800.0, 12980.0, 15000.0, 15200.0, 15600.0, 15800.0, 31700.0, 32200.0, 32700.0, 33200.0, 40500.0, 41200.0, 42100.0, 42632.0, None, 168806.0]",-2.33,,
102,Lr,262.0,103,,,,,,,,[3],,,,[Rn].5f<sup>14</sup>.7s<sup>2</sup>.7p<sup>1</sup> (tentative),,,about 1900 ,34.0,,,Lawrencium,[3],,,,,,,,,,,1.3,,,18.0,"[4.96, 14.54, 21.8, 43.6, 56.0, 80.0, 96.0, 121.0, 143.0, 165.0, 197.0, 216.0, 244.0, 269.0, 290.0, 322.0, 344.0, 374.0, 403.0, 431.0, 459.0, 487.0, 510.0, 540.0, 560.0, 745.0, 779.0, 814.0, 852.0, 888.0, 922.0, 985.0, 1020.0, 1061.0, 1098.0, 1280.0, 1320.0, 1360.0, 1410.0, 1570.0, 1620.0, 1760.0, 1810.0, 2010.0, 2100.0, 2190.0, 2290.0, 2380.0, 2470.0, 2570.0, 2670.0, 2780.0, 2860.0, 2960.0, 3060.0, 3150.0, 3250.0, 3741.0, 3821.0, 3906.0, 3996.0, 4082.0, 4165.0, 4360.0, 4448.0, 4540.0, 4630.0, 4990.0, 5070.0, 5160.0, 5250.0, 5920.0, 6030.0, 6290.0, 6390.0, 9920.0, 10110.0, 10310.0, 10520.0, 10720.0, 10920.0, 11470.0, 11680.0, 11910.0, 12120.0, 12710.0, 12890.0, 13090.0, 13300.0, 15300.0, 15600.0, 16000.0, 16200.0, 32400.0, 32900.0, 33400.0, 33900.0, 41600.0, 42300.0, 43200.0, 43759.0, None, 172930.0]",-0.31,,
103,Rf,267.0,104,,,,,,,,,,,,,,,,,,,Rutherfordium,,,,,,,,,,,,,,,,"[6.02, 14.35, 23.84, 31.87, 64.0, 77.0, 102.0, 119.0, 146.1, 169.0, 193.0, 225.0, 244.0, 275.0, None, 791.0, 825.0, 860.0, 899.0, 936.0, 972.0, 1036.0, 1073.0, 1114.0, 1151.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 3857.0, 3938.0, 4025.0, 4116.0, 4203.0, 4287.0, 4489.0, 4580.0, 4670.0, 4760.0, 5130.0, 5210.0, 5300.0, 5390.0, 6100.0, 6200.0, 6470.0, 6570.0, 10170.0, 10360.0, 10560.0, 10780.0, 10980.0, 11180.0, 11750.0, 11960.0, 12200.0, 12410.0, 13010.0, 13190.0, 13400.0, 13600.0, 15800.0, 16000.0, 16400.0, 16700.0, 33100.0, 33600.0, 34100.0, 34600.0, 42700.0, 43400.0, 44300.0, None, None, 177148.0]",,,
104,Db,268.0,105,,,,,,,,,,,,,,,,,,,Dubnium,,,,,,,,,,,,,,,,"[6.8, 14.0, 23.1, 33.0, 43.0, 86.0, 98.9, 126.0, 145.1, 172.0, 196.0, 220.9, 254.0, 274.0, 307.0, None, 838.0, 872.0, 908.0, 948.0, 985.0, 1022.0, 1089.0, 1126.0, 1168.0, 1207.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 3975.0, 4057.0, 4145.0, 4237.0, 4326.0, 4411.0, 4620.0, 4710.0, 4810.0, 4900.0, 5260.0, 5350.0, 5450.0, 5530.0, 6280.0, 6380.0, 6650.0, 6760.0, 10420.0, 10610.0, 10820.0, 11040.0, 11240.0, 11440.0, 12040.0, 12250.0, 12480.0, 12700.0, 13300.0, 13500.0, 13700.0, 13900.0, 16200.0, 16400.0, 16900.0, 17100.0, 33800.0, 34300.0, 34800.0, 35300.0, 43800.0, 44500.0, 45400.0, None, None, 181444.0]",,,
105,Sg,269.0,106,,,,,,,,,,,,,,,,,,,Seaborgium,,,,,,,,,,,,,,,,"[7.8, 17.1, 25.8, 35.5, 47.2, 59.3, 109.0, 122.0, 152.0, 170.0, 200.0, 224.0, 251.0, 285.0, 306.0, 339.0, None, 885.0, 921.0, 958.0, 998.0, 1036.0, 1073.0, 1143.0, 1181.0, 1223.0, 1263.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4095.0, 4178.0, 4267.0, 4360.0, 4450.0, 4540.0, 4750.0, 4840.0, 4940.0, 5030.0, 5410.0, 5490.0, 5590.0, 5680.0, 6460.0, 6570.0, 6840.0, 6950.0, 10680.0, 10870.0, 11080.0, 11300.0, 11510.0, 11710.0, 12320.0, 12540.0, 12780.0, 12990.0, 13600.0, 13800.0, 14000.0, 14200.0, 16600.0, 16800.0, 17300.0, 17500.0, 34500.0, 35000.0, 35600.0, 36100.0, 44900.0, 45700.0, 46600.0, None, None, 185839.0]",,,
106,Bh,270.0,107,,,,,,,,,,,,,,,,,,,Bohrium,,,,,,,,,,,,,,,,"[7.7, 17.5, 26.7, 37.3, 49.0, 62.1, 74.9, 134.0, 148.0, 178.0, 198.0, 228.0, 255.0, 281.0, 318.0, 337.0, 374.0, None, 934.0, 969.0, 1008.0, 1049.0, 1088.0, 1126.0, 1197.0, 1237.0, 1280.0, 1320.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4216.0, 4301.0, 4390.0, 4486.0, 4580.0, 4660.0, 4890.0, 4980.0, 5080.0, 5170.0, 5550.0, 5640.0, 5740.0, 5830.0, 6650.0, 6760.0, 7040.0, 7140.0, 10930.0, 11130.0, 11340.0, 11560.0, 11780.0, 11980.0, 12610.0, 12830.0, 13070.0, 13300.0, 13900.0, 14100.0, 14300.0, 14500.0, 17000.0, 17300.0, 17700.0, 18000.0, 35200.0, 35700.0, 36300.0, 36800.0, 46100.0, 46900.0, 47800.0, None, None, 190331.0]",,,
