,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
76,Ir,77.0,-1.0237588171587842e-18,-8.353861053214656e-19,-1.33925943732672e-20,-8.353861053214656e-19,-2.7245825740453803e-19,1.4709910720069685e-18,-2.8105222064411523e-19,1.4539320246072389e-18,1.36085,,0.69845,0.69835,1.30035,,0.69225,0.69225,1.27245,,0.69155,0.69145,1.2431500000000002,,0.6889500000000001,0.6889500000000001,1.2104500000000002,,0.68345,0.68345,1.4024500000000002,,0.69845,0.69835,1.3396500000000002,,0.69225,0.69225,1.3020500000000002,,0.69155,0.69145,1.26635,,0.6889500000000001,0.6889500000000001,1.2309500000000002,,0.68345,0.68345
77,Pt,78.0,-9.158986848699075e-19,-8.812948742138688e-19,-8.097512793886656e-19,-8.812948742138688e-19,-3.0901207723443223e-19,1.5393359212267785e-18,-3.098513454029952e-19,1.444195597282637e-18,1.32505,,0.67105,0.67105,1.28845,,0.67055,1.28845,1.2631500000000002,,0.66845,0.66545,1.23755,,0.66845,0.6687500000000001,1.20155,,0.66445,0.66445,1.34455,,0.67105,0.67105,1.3015500000000002,,0.67055,1.28845,1.2514500000000002,,0.66845,0.66545,1.24205,,0.66845,0.6687500000000001,1.20765,,0.66445,0.66445
78,Au,79.0,-9.79644486081677e-19,-9.79644486081677e-19,-8.601092927570304e-19,-8.601092927570304e-19,-3.4460391818483047e-19,1.5433887551410093e-18,-3.423386807429568e-19,1.5401179115699329e-18,1.29855,,0.64605,1.29855,1.2572500000000002,,0.64525,1.2572500000000002,1.22225,,0.64425,1.22225,1.1943500000000002,,0.64265,1.1943500000000002,1.17135,,0.64095,0.64095,1.29855,,0.64605,1.29855,1.2568500000000002,,0.64525,1.2572500000000002,1.22205,,0.64425,1.22225,1.1941500000000005,,0.64265,1.1943500000000002,1.17135,,0.64095,0.64095
79,Hg,80.0,-1.0982488147896387e-18,-1.0982488147896387e-18,-1.13882714206464e-19,-1.13882714206464e-19,2.4274768641185342e-19,1.6962120837247068e-18,2.4707806540005124e-19,1.6936160449022973e-18,1.2086500000000002,1.9441500000000005,0.61675,1.9441500000000005,1.1864500000000002,1.81845,0.61645,1.81845,1.1639500000000005,,0.61595,1.1639500000000005,1.13935,,0.6152500000000001,1.13935,1.11945,,0.6143500000000001,1.11945,1.1921500000000005,1.9441500000000005,0.61675,1.9441500000000005,1.1784500000000002,1.81845,0.61645,1.81845,1.1639500000000005,,0.61595,1.1639500000000005,1.1398500000000005,,0.6152500000000001,1.13935,1.1202500000000002,,0.6143500000000001,1.11945
80,Tl,81.0,-1.4617634639297086e-18,-3.9466256482504323e-19,-2.81918998195968e-19,-3.9466256482504323e-19,2.4391921416227032e-20,8.459233806278602e-19,2.71360654264896e-20,8.385744367968577e-19,1.11895,1.7311500000000002,0.59135,1.7311500000000002,1.1096500000000002,1.62505,0.59125,1.62505,1.0998500000000002,1.53465,0.59095,1.53465,1.0897500000000002,1.4645500000000002,0.59045,1.4645500000000002,1.0799500000000002,1.40915,0.58985,1.0799500000000002,1.10725,1.7311500000000002,0.59135,1.7311500000000002,1.10125,1.62505,0.59125,1.62505,1.09465,1.53465,0.59095,1.53465,1.08725,1.4645500000000002,0.59045,1.4645500000000002,1.0799500000000002,1.40915,0.58985,1.0799500000000002
81,Pb,82.0,-1.81458518630256e-18,-6.21878446657037e-19,-4.146961812915264e-19,-6.21878446657037e-19,-1.5463285892556532e-19,1.1206888845114151e-18,-1.5408773432881921e-19,1.1159048011508542e-18,1.0540500000000002,1.5165500000000005,0.56845,1.5166500000000005,1.04835,1.4523500000000005,0.56835,1.4523500000000005,1.04215,1.3981500000000002,0.56815,1.3981500000000002,1.0355500000000002,1.3541500000000002,0.5678500000000001,1.3541500000000002,1.0288500000000005,1.3190500000000005,0.56755,1.3190500000000005,1.04435,1.5165500000000005,0.56845,1.5166500000000005,1.04065,1.4523500000000005,0.56835,1.4523500000000005,1.03625,1.3981500000000002,0.56815,1.3981500000000002,1.0314500000000002,1.3541500000000002,0.5678500000000001,1.3541500000000002,1.02625,1.3190500000000005,0.56755,1.3190500000000005
82,Bi,83.0,-8.256336562306559e-19,-8.256336562306559e-19,-5.25746247232416e-19,-5.25746247232416e-19,-8.465978167539081e-20,1.3653055580144853e-18,-7.914752506752e-20,1.3628162401823429e-18,0.99795,1.3802500000000002,0.54725,1.3802500000000002,0.99515,1.33235,0.54735,1.3322500000000002,0.99185,1.2937500000000002,0.54735,1.2938500000000002,0.98745,1.26585,0.54725,1.26585,0.98305,1.24385,0.54705,1.24385,0.99455,1.3802500000000002,0.54725,1.3802500000000002,0.99095,1.33235,0.54735,1.3322500000000002,0.98705,1.2937500000000002,0.54735,1.2938500000000002,0.98365,1.26585,0.54725,1.26585,0.98005,1.24385,0.54705,1.24385
83,Po,84.0,-9.745928231962946e-19,-7.879456555795777e-19,7.336591051370113e-19,-7.879456555795777e-19,-2.847672997204496e-19,1.32282966080566e-18,-2.815392823368384e-19,1.3157731302424129e-18,0.95255,1.2713500000000002,0.52835,1.2713500000000002,0.95035,1.2413500000000002,0.52845,1.2414500000000002,0.94745,1.21575,0.52835,1.21565,0.94405,1.19385,0.52835,1.19385,0.94005,1.17555,0.52835,1.17545,0.95095,1.2713500000000002,0.52835,1.2713500000000002,0.94785,1.2413500000000002,0.52845,1.2414500000000002,0.94425,1.21575,0.52835,1.21565,0.93995,1.19385,0.52835,1.19385,0.93535,1.17555,0.52835,1.17545
84,At,85.0,-1.1095105142572417e-18,-1.0198927649727937e-18,7.604619178263746e-19,-1.0198927649727937e-18,-4.695329672362706e-19,1.6005800037476422e-18,-4.687952770694594e-19,1.5962021041810368e-18,0.91145,1.1926500000000002,0.51105,1.1927500000000002,0.90975,1.16905,0.51105,1.16915,0.90745,1.14925,0.51105,1.14915,0.90475,1.1325500000000002,0.51105,1.1324500000000002,0.90165,1.11865,0.51095,1.11865,0.91145,1.1926500000000002,0.51105,1.1927500000000002,0.90915,1.16905,0.51105,1.16915,0.90645,1.14925,0.51105,1.14915,0.90315,1.1325500000000002,0.51105,1.1324500000000002,0.8995500000000001,1.11865,0.51095,1.11865
85,Rn,86.0,-1.2371334951636865e-18,-1.2371334951636865e-18,2.7149363492442244e-19,2.7149363492442244e-19,2.669102241793466e-19,1.859328163410049e-18,2.637599283758208e-19,1.857015629751206e-18,2.67795,,,2.67795,2.61055,,,2.61055,0.87185,1.09275,0.4950500000000001,1.09265,0.8703500000000001,1.0800500000000002,0.4950500000000001,1.0801500000000002,0.86875,1.0695500000000002,0.4950500000000001,1.0696500000000002,2.65235,,,2.67795,2.59615,,,2.61055,0.87185,1.09275,0.4950500000000001,1.09265,0.8702500000000001,1.0800500000000002,0.4950500000000001,1.0801500000000002,0.86845,1.0695500000000002,0.4950500000000001,1.0696500000000002
86,Fr,87.0,-3.716312759010432e-19,-3.716312759010432e-19,-2.6152168763656323e-19,-2.6152168763656323e-19,-3.504886328141273e-20,6.564579683093882e-19,-3.5174185533043203e-20,6.562691678225089e-19,2.85865,,,2.85865,2.58985,,,2.58985,2.40105,,,2.40105,2.32755,,,2.32755,0.8361500000000001,1.0249500000000002,0.48035,1.0248500000000005,2.85865,,,2.85865,2.58655,,,2.58985,2.35295,,,2.40105,2.29875,,,2.32755,0.8361500000000001,1.0249500000000002,0.48035,1.0248500000000005
87,Ra,88.0,-5.24977202454432e-19,-5.24977202454432e-19,-1.859438120801856e-19,-1.859438120801856e-19,1.576666604851651e-19,8.45543520612874e-19,1.9010466476440322e-19,8.442701746838018e-19,2.35485,,,2.65295,2.25985,,,2.65345,2.15585,,,2.15585,2.08985,,,2.08985,2.04215,,,2.04215,2.32245,,,2.65295,2.26905,,,2.65345,2.15585,,,2.15585,2.09345,,,2.08985,2.02785,,,2.04215
88,Ac,89.0,-6.246422013279169e-19,-3.5157042243200642e-19,-6.432578914849919e-20,-3.5157042243200642e-19,7.088638196031435e-20,8.279698860893001e-19,7.780329888266879e-20,8.152098951357312e-19,2.16775,,1.5598500000000002,1.5598500000000002,2.06915,,1.4702500000000005,1.4702500000000005,1.98695,,1.40365,1.40365,1.92145,,1.3536500000000002,1.3536500000000002,1.8712500000000003,,1.3160500000000002,1.8712500000000003,2.16775,,1.5598500000000002,1.5598500000000002,2.06945,,1.4702500000000005,1.4702500000000005,1.98695,,1.40365,1.40365,1.92145,,1.3536500000000002,1.3536500000000002,1.8712500000000003,,1.3160500000000002,1.8712500000000003
89,Th,90.0,-6.542440165738175e-19,-4.120894399294848e-19,6.966904817886722e-20,-4.120894399294848e-19,5.414866713875392e-20,8.949366390926247e-19,5.913153254386561e-20,8.941843851282048e-19,2.00515,,1.3800500000000002,1.3801500000000002,1.94665,,1.3437500000000002,1.3437500000000002,1.8915500000000005,,1.31245,1.31245,1.84215,,1.2855500000000002,1.2855500000000002,1.7977500000000002,,1.2613500000000002,0.61715,2.00515,,1.3800500000000002,1.3801500000000002,1.94665,,1.3437500000000002,1.3437500000000002,1.8915500000000005,,1.31245,1.31245,1.84215,,1.2855500000000002,1.2855500000000002,1.7977500000000002,,1.2613500000000002,0.61715
90,Pa,91.0,-5.709196170558721e-19,-3.876514399324224e-19,-2.546964152319552e-19,-3.876514399324224e-19,7.572205538554395e-20,9.10914842118248e-19,6.79338908985408e-20,8.583885550662913e-19,1.96105,,1.37485,1.37485,1.91525,,1.3361500000000002,1.3361500000000002,1.87035,,1.3012500000000002,0.58935,1.8272500000000005,,1.27015,0.59195,1.76995,,1.2314500000000002,0.58945,2.02095,,0.58425,1.37485,1.9681500000000005,,1.3361500000000002,1.3361500000000002,1.9139500000000005,,0.58945,0.58935,1.86075,,0.59195,0.59195,1.7939500000000002,,1.2314500000000002,0.58945
