,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
88,Ac,89.0,-6.246438035045377e-19,-3.5157042243200642e-19,-3.5157042243200642e-19,-3.5157042243200642e-19,7.088638196031435e-20,8.279699021189538e-19,7.781130976577281e-20,8.152098951357312e-19,2.16775,1.5597500000000002,,1.5597500000000002,2.06945,,1.4703500000000005,1.4703500000000005,1.98685,,1.40365,1.40365,1.92145,,1.3536500000000002,1.3536500000000002,1.8712500000000003,,1.3159500000000002,1.3159500000000002
89,Th,90.0,-6.54232801337472e-19,-4.120782246931392e-19,-4.120782246931392e-19,-4.120782246931392e-19,5.4148651159587424e-20,9.008438002730413e-19,5.913633907372801e-20,8.941907938346883e-19,2.00515,1.3801500000000002,,1.3801500000000002,1.94665,,1.3436500000000002,1.3436500000000002,1.8915500000000005,,1.31235,1.31235,1.84205,,1.2853500000000002,1.2853500000000002,1.79815,,1.2616500000000002,0.6172500000000001
90,Pa,91.0,-6.298749101714496e-19,-3.38996540311968e-19,-3.38996540311968e-19,-3.38996540311968e-19,1.253511905973075e-19,8.6639024167248e-19,1.2986282382232322e-19,8.2218737431931535e-19,1.98535,1.3945500000000002,,1.3943500000000002,1.93455,,1.3500500000000002,1.3501500000000002,1.88385,,1.3112500000000002,0.5881500000000001,1.8351500000000005,,1.2773500000000002,0.59095,1.76195,,1.2233500000000002,0.58595
91,U,92.0,-6.043314083060352e-19,-2.6912882223212164e-19,-2.6912882223212164e-19,-2.6912882223212164e-19,2.0001935025499121e-19,8.844871630764298e-19,2.020553001789504e-19,8.3592924319591685e-19,1.95265,1.40945,,0.56275,1.91505,,1.36125,0.5649500000000001,1.87585,,1.3192500000000005,0.56745,1.82415,,1.2694500000000002,0.56765,1.7595500000000002,,1.21815,0.56405
92,Np,93.0,-5.772305907652032e-19,-1.9899674500984325e-19,-1.9899674500984325e-19,-1.9899674500984325e-19,2.7352905611181243e-19,9.126838694129902e-19,2.7278819363402875e-19,9.761933976404736e-19,1.9338500000000003,1.43385,,0.54355,1.90095,,1.3818500000000002,0.54555,1.8652500000000003,,1.3337500000000002,0.54765,1.7911500000000002,,1.24425,0.54405,1.7485500000000005,,1.2105500000000002,0.54405
93,Pu,94.0,-5.845669575118465e-19,-2.8646277109255683e-19,-2.8646277109255683e-19,-2.8646277109255683e-19,2.8323811823806712e-19,9.948171147072811e-19,2.8996833353886715e-19,1.050971787063072e-18,2.02895,,,0.5225500000000001,1.9401500000000005,,,0.52315,1.84785,,,0.5245500000000001,1.7687500000000005,,,0.52615,1.7394500000000002,,,0.5266500000000001
94,Am,95.0,-3.788026184557441e-19,-3.788026184557441e-19,-3.788026184557441e-19,-3.788026184557441e-19,3.3290451999629977e-19,1.0203598314859977e-18,3.7507915998900473e-19,1.0557382625099522e-18,1.93505,,,0.50695,1.89835,,,0.50835,1.8170500000000005,,,0.50615,1.74825,,,0.50465,1.7143500000000005,,,0.50615
95,Cm,96.0,-3.276787646626368e-19,-3.276787646626368e-19,-7.718966523690241e-20,-3.276787646626368e-19,4.2624476651114938e-19,1.0037875574317609e-18,4.730859060599618e-19,1.0467692777867137e-18,1.8716500000000005,1.53825,,0.49355,1.84775,,1.4844500000000005,0.49495,1.79035,,1.33695,0.49275,1.7365500000000005,,1.2367500000000002,0.49135,1.70955,,1.2069500000000002,0.49265
96,Bk,97.0,-5.534270527099777e-19,-5.534270527099777e-19,-1.0494897736888321e-19,-5.534270527099777e-19,3.0533527412862307e-19,1.012225500667913e-18,4.1344007482081927e-19,1.017175473423917e-18,2.00045,,,0.47765,1.92465,,,0.47825,1.7653500000000002,,,0.47465,1.7112500000000002,,,0.47515,1.67135,,,0.47625
97,Cf,98.0,-5.9353113570522245e-19,-6.017022364713024e-19,-7.014649681186559e-20,-6.017022364713024e-19,2.729236897309959e-19,9.993849202768578e-19,3.379375015656192e-19,1.0035537677938754e-18,2.04515,,,0.46435,1.9159500000000005,,,0.46395,1.7463500000000003,,,0.46125,1.6984500000000002,,,0.46195,1.6608500000000002,,,0.46285
98,Es,99.0,-5.865921087605375e-19,-5.904453435335615e-19,-2.3359735131264003e-20,-5.904453435335615e-19,2.4000788424919544e-19,9.872252007853632e-19,2.6788232882113924e-19,9.935321530307712e-19,2.04005,,,0.45155,1.8893500000000003,,,0.45065,1.73385,,,0.44895,1.6827500000000002,,,0.44955,1.6418500000000005,,,0.45025
99,Fm,100.0,-5.795905969276415e-19,-5.802218545162369e-19,2.06248196395584e-20,-5.802218545162369e-19,2.154982029139709e-19,9.77253237471715e-19,2.1716863224295683e-19,9.862710885853056e-19,2.01235,,,0.43975,1.86195,,,0.43865,1.72175,,,0.43745,1.6669500000000002,,,0.43795,1.6216500000000005,,,0.43865
100,Md,101.0,-5.731258142627136e-19,-5.762612739096194e-19,5.93462242110528e-20,-5.762612739096194e-19,1.7461530184433128e-19,9.701471035146309e-19,1.5231732916283522e-19,9.825524366484288e-19,2.07565,,,0.43125,1.8331500000000005,,,0.42735,1.70145,,,1.70145,1.65305,,,1.65305,1.61725,,,1.61725
101,No,102.0,-6.407873351357184e-19,-6.407873351357184e-19,8.602086277075201e-21,8.602086277075201e-21,3.6620149933145783e-19,1.0946882976666914e-18,3.6803599156396793e-19,1.09392614226672e-18,1.78195,,,1.78195,1.7072500000000002,,,1.7072500000000002,1.64525,,,1.64525,1.5911500000000005,,,1.5911500000000005,1.5515500000000002,,,1.5515500000000002
