,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
62,Eu,63.0,-5.335087929601921e-19,-5.335087929601921e-19,-2.7622646466226555e-19,-2.7622646466226555e-19,2.1919017859177786e-19,9.158657761618008e-19,2.20956177774528e-19,9.172605349975873e-19,2.07955,,,0.31265,1.9600500000000003,,,0.31255,1.86275,,,0.31245,1.80195,,,0.31235,1.75215,,,0.31235,2.21015,,,0.31265,2.06335,,,0.31255,1.92455,,,0.31245,1.85415,,,0.31235,1.7931500000000002,,,0.31235
63,Gd,64.0,-5.625514485654336e-19,-3.303447865596481e-19,-2.029012494347328e-19,-3.303447865596481e-19,1.698538732433325e-19,9.509788066135565e-19,1.914552996557376e-19,1.0734198836971009e-18,1.87065,,1.1845500000000002,0.29985,1.83235,,1.12485,0.30035,1.7935500000000002,,1.07895,0.30085,1.7351500000000002,,1.0257500000000002,0.30065,1.71165,,1.02065,0.30125,1.92155,,1.1845500000000002,0.29985,1.88505,,1.12485,0.30035,1.84265,,1.07895,0.30085,1.7826500000000003,,1.0257500000000002,0.30065,1.75615,,1.02065,0.30125
64,Tb,65.0,-5.712913220318975e-19,-2.596375279305024e-19,-1.7497210658094721e-19,-2.596375279305024e-19,1.7938743299065098e-19,9.287415884755893e-19,2.13025403501568e-19,1.0339598757034178e-18,1.97555,,,0.29235,1.87805,,,0.29225,1.80645,,,0.29255,1.7344500000000005,,,0.29205,1.70545,,,0.29265,2.09165,,,0.29235,1.9482500000000005,,,0.29225,1.84165,,,0.29255,1.75795,,,0.29205,1.72985,,,0.29265
65,Dy,66.0,-5.7526151569824e-19,-2.378815715966592e-19,-1.932160917619968e-19,-2.378815715966592e-19,2.529435859425861e-19,9.171948297351568e-19,2.4521793834330243e-19,1.0507506866894014e-18,1.9640500000000003,,,0.28395,1.87725,,,0.28405,1.7967500000000003,,,0.28435,1.7408500000000002,,,0.28505,1.7124500000000002,,,0.28535,2.05815,,,0.28395,1.92545,,,0.28405,1.81995,,,0.28435,1.7222500000000005,,,0.28505,1.6921500000000005,,,0.28535
66,Ho,67.0,-5.873547448320384e-19,-3.160149188632128e-19,-1.65921410850048e-19,-3.160149188632128e-19,5.223411732986884e-19,9.331299662565005e-19,3.052242593221248e-19,1.0361612663803968e-18,2.01545,,,0.27695,1.87075,,,0.27635,1.7732500000000002,,,0.27635,1.6980500000000005,,,0.27625,1.6606500000000002,,,0.27645,2.01555,,,0.27695,1.91025,,,0.27635,1.7915500000000002,,,0.27635,1.7151500000000002,,,0.27625,1.6781500000000005,,,0.27645
67,Er,68.0,-6.000792315544322e-19,-3.854788884346176e-19,-1.4043718951960322e-19,-3.854788884346176e-19,3.986859667900667e-19,1.034315542888505e-18,3.58358844774336e-19,1.0677065218673281e-18,1.98085,,,0.26935,1.88525,,,0.26945,1.7536500000000002,,,0.26885,1.6940500000000005,,,0.26875,1.6665500000000002,,,0.26925,1.98095,,,0.26935,1.8611500000000003,,,0.26945,1.76185,,,0.26885,1.6981500000000005,,,0.26875,1.66345,,,0.26925
68,Tm,69.0,-5.609604871809793e-19,-4.444662250826113e-19,-1.1498020519171198e-19,-4.444662250826113e-19,3.62857756707712e-19,1.0229734462087009e-18,3.8884025498505603e-19,1.0323673121423425e-18,1.97295,,,0.26225,1.8615500000000005,,,0.26225,1.73185,,,0.26185,1.68765,,,1.68765,1.64135,,,0.26195,1.97295,,,0.26225,1.8615500000000005,,,0.26225,1.73555,,,0.26185,1.6821500000000005,,,1.68765,1.6516500000000005,,,0.26195
69,Yb,70.0,-4.94080828498925e-19,-4.94080828498925e-19,-8.958891010527359e-20,-8.958891010527359e-20,2.7692488549194675e-19,1.0398586414163916e-18,2.66345841441792e-19,1.0653945810035137e-18,1.85105,,,2.14735,1.7692500000000002,,,2.14695,1.7103500000000005,,,0.25535,1.65095,,,0.25525,1.60875,,,1.60875,1.84865,,,2.14735,1.7656500000000002,,,2.14695,1.7103500000000005,,,0.25535,1.6563500000000002,,,0.25525,1.61715,,,1.60875
70,Lu,71.0,-7.054880336134848e-19,-3.0386080701782404e-19,-2.33052611261568e-19,-3.0386080701782404e-19,1.9116158864940492e-19,8.96683139801575e-19,2.0076234364596482e-19,8.789813311734337e-19,1.7308500000000002,,1.1034500000000005,1.1034500000000005,1.6579500000000005,,1.02855,1.02855,1.5978500000000002,,0.98155,0.98155,1.55025,,0.95025,0.95025,1.51425,,0.92955,1.51425,1.7869500000000005,,1.1034500000000005,1.1034500000000005,1.6927500000000002,,1.02855,1.02855,1.6155500000000005,,0.98155,0.98155,1.55655,,0.95025,0.95025,1.51425,,0.92955,1.51425
71,Hf,72.0,-7.558124012728129e-19,-5.000889908269247e-19,-3.501028286473536e-19,-5.000889908269247e-19,6.63041247997417e-20,1.132962582816925e-18,7.210115228924159e-20,1.1207642028417408e-18,1.6365500000000002,,0.96265,0.96265,1.5653500000000002,,0.92475,0.92475,1.5111500000000002,,0.89785,0.89785,1.4693500000000002,,0.87765,0.87765,1.43755,,0.8623500000000001,0.8623500000000001,1.7383500000000005,,0.96265,0.96265,1.6266500000000002,,0.92475,0.92475,1.54455,,0.89785,0.89785,1.4865500000000005,,0.87765,0.87765,1.44535,,0.8623500000000001,0.8623500000000001
72,Ta,73.0,-7.877630074448063e-19,-6.84273612977472e-19,-4.485405602293058e-19,-6.84273612977472e-19,-6.988276253413259e-20,1.2491707762650864e-18,-6.58110068759808e-20,1.3637422982691651e-18,1.5559500000000002,,0.87295,0.87295,1.49225,,0.85375,0.85365,1.4406500000000002,,0.8379500000000001,0.8379500000000001,1.39905,,0.8248500000000001,0.8248500000000001,1.38345,,0.82545,0.82545,1.6637500000000005,,0.87295,0.87295,1.5675500000000002,,0.85375,0.85365,1.4885500000000005,,0.8379500000000001,0.8379500000000001,1.4279500000000005,,0.8248500000000001,0.8248500000000001,1.4139500000000005,,0.82545,0.82545
73,W,74.0,-6.692628202171969e-19,-6.692628202171969e-19,-5.484442834192896e-19,-5.484442834192896e-19,-1.4191822556752633e-19,1.3525823049815945e-18,-2.044024889284224e-19,1.3450497036342914e-18,1.4887500000000002,,0.81235,0.81235,1.42945,,0.8006500000000001,0.8007500000000001,1.40965,,0.80355,0.80355,1.3660500000000002,,0.7925500000000001,0.7925500000000001,1.3317500000000002,,0.78305,0.78305,1.6178500000000002,,0.81235,0.81235,1.51995,,0.8006500000000001,0.8007500000000001,1.4915500000000002,,0.80355,0.80355,1.42125,,0.7925500000000001,0.7925500000000001,1.3679500000000002,,0.78305,0.78305
74,Re,75.0,-8.271028521919296e-19,-8.271028521919296e-19,-6.189833135032511e-19,-6.189833135032511e-19,2.8440942153546844e-20,1.3178727346504018e-18,3.69686233483392e-20,1.3192674774523776e-18,1.44325,,0.76595,0.76595,1.37905,,0.75805,0.75815,1.3312500000000005,,0.7513500000000001,0.7513500000000001,1.30665,,0.74915,0.74915,1.2855500000000002,,0.74675,0.74675,1.5369500000000005,,0.76595,0.76595,1.4605500000000002,,0.75805,0.75815,1.3983500000000002,,0.7513500000000001,0.7513500000000001,1.36085,,0.74915,0.74915,1.3258500000000002,,0.74665,0.74675
75,Os,76.0,-9.080047606592258e-19,-8.26809653870323e-19,-9.37081061973504e-20,-8.26809653870323e-19,-1.5621021780950385e-19,1.4248812780136736e-18,-1.481805091279296e-19,1.4207493446138497e-18,1.3956500000000005,,0.72985,0.72985,1.33645,,0.7232500000000001,0.7232500000000001,1.29075,,0.71725,0.71735,1.2675500000000002,,0.71555,0.71555,1.2468500000000002,,0.71335,0.71335,1.4571500000000002,,0.72985,0.72985,1.39095,,0.7232500000000001,0.7232500000000001,1.33665,,0.71725,0.71735,1.30485,,0.71555,0.71555,1.27655,,0.71335,0.71335
76,Ir,77.0,-1.0575423133849731e-18,-9.033408245160769e-19,-2.50516336428288e-20,-9.033408245160769e-19,-3.1013105338112803e-19,1.533101419386463e-18,-3.1669103739719043e-19,1.509626888299488e-18,1.3597500000000002,,0.69945,0.69945,1.30025,,0.69315,0.69325,1.2695500000000002,,0.69145,0.69155,1.2435500000000002,,0.68965,0.68965,1.21145,,0.68415,0.68415,1.39695,,0.69945,0.69945,1.33515,,0.69325,0.69325,1.2979500000000002,,0.69155,0.69155,1.2657500000000002,,0.68965,0.68965,1.2307500000000002,,0.68415,0.68415
77,Pt,78.0,-1.0073557329150336e-18,-9.47237259572755e-19,-8.738095050414911e-19,-9.47237259572755e-19,-3.6008392436040204e-19,1.5692527083739405e-18,-3.6119469739315203e-19,1.4942171535606336e-18,1.3274500000000002,,0.6716500000000001,0.6716500000000001,1.2870500000000002,,0.67045,1.2870500000000002,1.2536500000000002,,0.66925,0.66925,1.23755,,0.66925,0.66925,1.20195,,0.66505,0.66505,1.3453500000000005,,0.6716500000000001,0.6716500000000001,1.3015500000000002,,0.67045,1.2870500000000002,1.2648500000000005,,0.66925,0.66925,1.24185,,0.66925,0.66925,1.20735,,0.66505,0.66505
78,Au,79.0,-1.01133393746448e-18,-1.01133393746448e-18,-9.196990478144448e-19,-9.196990478144448e-19,-3.8544477810528403e-19,1.5885561007847468e-18,-3.8308523656314243e-19,1.5850765897262017e-18,1.30065,,0.64635,1.30065,1.2590500000000002,,0.6455500000000001,1.2590500000000002,1.22415,,0.6444500000000001,1.22415,1.19565,,0.64295,1.19565,1.17165,,0.64135,0.64135,1.30065,,0.64635,1.30065,1.25975,,0.6455500000000001,1.2590500000000002,1.2249500000000002,,0.6444500000000001,1.22415,1.19575,,0.64295,1.19565,1.17165,,0.64135,0.64135
79,Hg,80.0,-1.1383272629589504e-18,-1.1383272629589504e-18,-1.5039952374773762e-19,-1.5039952374773762e-19,2.2406632303006955e-19,1.7518369323030962e-18,2.27284775426688e-19,1.7489231818523138e-18,1.2049500000000002,1.92905,0.61685,1.92905,1.18565,1.8252500000000005,0.61655,1.8252500000000005,1.16535,,0.61615,1.16535,1.1406500000000002,,0.6153500000000001,1.1406500000000002,1.12075,,0.6143500000000001,1.12075,1.19385,1.92905,0.61685,1.92905,1.1803500000000002,1.8252500000000005,0.61655,1.8252500000000005,1.16535,,0.61615,1.16535,1.14135,,0.6153500000000001,1.1406500000000002,1.1215500000000005,,0.6143500000000001,1.12075
