,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
90,Pa,91.0,-6.480580126409088e-19,-3.5539481802585603e-19,-3.5539481802585603e-19,-3.5539481802585603e-19,1.1341532721249474e-19,8.875233357752058e-19,1.1811085830875522e-19,8.444159727562946e-19,1.9724500000000005,1.3998500000000005,,1.3997500000000005,1.92125,,1.35655,1.35655,1.87105,,1.31825,0.5891500000000001,1.8230500000000005,,1.28445,0.59175,1.7529500000000002,,1.2309500000000002,0.58675
91,U,92.0,-6.248889365275199e-19,-2.8881957290175363e-19,-2.8881957290175363e-19,-2.8881957290175363e-19,1.863549786269721e-19,9.089995040214865e-19,1.885297251461568e-19,8.573551511458754e-19,1.93965,1.41155,,0.56375,1.90095,,1.3660500000000002,0.5659500000000001,1.86105,,1.3251500000000005,0.56825,1.81035,,1.27645,0.56865,1.7469500000000002,,1.22375,0.56475
92,Np,93.0,-6.004477321772162e-19,-2.2186941844838402e-19,-2.2186941844838402e-19,-2.2186941844838402e-19,2.5758570041714284e-19,9.403348423559204e-19,2.5702598003859844e-19,9.977346623071294e-19,1.92085,1.4309500000000002,,0.54455,1.88635,,1.38305,0.54645,1.84955,,1.3379500000000002,0.54845,1.7773500000000002,,1.2510500000000002,0.54495,1.7353500000000002,,1.2166500000000002,0.54465
93,Pu,94.0,-6.09477599612045e-19,-3.1019741555308804e-19,-3.1019741555308804e-19,-3.1019741555308804e-19,2.660700107011151e-19,1.0284994655193365e-18,2.728715068183104e-19,1.0842121454148097e-18,2.00325,,,0.52345,1.91645,,,0.52415,1.83055,,,0.52535,1.7573500000000002,,,0.52705,1.7284500000000005,,,0.52745
94,Am,95.0,-3.9970942118056323e-19,-3.9970942118056323e-19,-3.9970942118056323e-19,-3.9970942118056323e-19,3.1572152833276225e-19,1.0562084212786569e-18,3.569216923454784e-19,1.0918160756571266e-18,1.9160500000000005,,,0.50775,1.87815,,,0.50915,1.7991500000000002,,,0.50685,1.7329500000000002,,,0.50525,1.7012500000000002,,,0.50665
95,Cm,96.0,-3.4816579711280643e-19,-3.4816579711280643e-19,-1.027700171645952e-19,-3.4816579711280643e-19,4.064150910757618e-19,1.0412260670963762e-18,4.512674648379071e-19,1.0848930704786497e-18,1.84675,1.5332500000000002,,0.49425,1.82415,,1.4793500000000002,0.49555,1.7708500000000005,,1.3377500000000002,0.49355,1.7206500000000002,,1.24005,0.49195,1.6966500000000002,,1.2123500000000005,0.49305
96,Bk,97.0,-5.758607297544194e-19,-5.758607297544194e-19,-1.317902422971456e-19,-5.758607297544194e-19,3.0020098698764894e-19,1.0550110345036838e-18,3.9302514031858563e-19,1.0595402276311105e-18,1.97175,,,0.47875,1.89495,,,0.47885,1.7483500000000003,,,0.47525,1.69785,,,0.47565,1.65935,,,0.47665
97,Cf,98.0,-6.229935615851136e-19,-6.315764217427394e-19,-1.0005913432220161e-19,-6.315764217427394e-19,2.5451248535985607e-19,1.0450263979691993e-18,3.182419443661248e-19,1.0484451545320704e-18,2.01225,,,0.46495,1.8835500000000005,,,0.46455,1.72805,,,0.46175,1.6839500000000005,,,0.46235,1.64685,,,0.46325
98,Es,99.0,-6.180172010009088e-19,-6.220723100281535e-19,-5.442914416181762e-20,-6.220723100281535e-19,2.205706780698556e-19,1.0353260837424036e-18,2.4783749711831035e-19,1.0411440356710848e-18,2.00795,,,0.45215,1.8572500000000003,,,0.45125,1.7142500000000005,,,0.44935,1.66735,,,0.44995,1.62705,,,0.45065
99,Fm,100.0,-6.125649939603264e-19,-6.133580713876224e-19,-1.1244075524774402e-20,-6.133580713876224e-19,1.9470323211424586e-19,1.0274662538758724e-18,1.96490940774912e-19,1.0363775602242049e-18,1.98335,,,0.44025,1.83195,,,0.43905,1.70135,,,0.43785,1.65115,,,0.43835,1.6062500000000002,,,0.43895
100,Md,101.0,-6.079138752301439e-19,-6.10877901978624e-19,2.6703477738873603e-20,-6.10877901978624e-19,1.5408853539676664e-19,1.0216325685885633e-18,1.332257925493824e-19,1.0340560063006656e-18,2.03065,,,0.42915,1.79635,,,0.42775,1.67935,,,1.67935,1.63535,,,1.63535,1.5994500000000005,,,0.42775
101,No,102.0,-6.712847671126463e-19,-6.712847671126463e-19,-2.06808958212864e-20,-2.06808958212864e-20,3.532953257998439e-19,1.1362385052637353e-18,3.55851438362784e-19,1.1353680427403328e-18,1.7434500000000002,,,2.18405,1.6802500000000002,,,2.18375,1.62895,,,1.62895,1.5797500000000002,,,1.5797500000000002,1.54265,,,1.54265
