,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
69,Yb,70.0,-4.532285290217665e-19,-4.532285290217665e-19,-6.49778750331648e-20,-6.49778750331648e-20,2.6579759262003045e-19,1.00290100899026e-18,2.744576616729024e-19,1.027301229667373e-18,1.88015,,,2.15755,1.82375,,,2.14195,1.7434500000000002,,,0.25575,1.67735,,,0.25575,1.6295500000000005,,,1.6295500000000005,1.9098500000000005,,,2.15755,1.81455,,,2.14195,1.7434500000000002,,,0.25575,1.6779500000000005,,,0.25575,1.61665,,,1.6295500000000005
70,Lu,71.0,-6.745291747697662e-19,-2.764908238046976e-19,-1.9731926608786561e-19,-2.764908238046976e-19,2.075615486101836e-19,8.59758816604337e-19,2.1722791277792644e-19,8.419838686459201e-19,1.7673500000000002,,1.10495,1.10495,1.68775,,1.0235500000000002,1.0235500000000002,1.62125,,0.97585,0.97585,1.56885,,0.94505,0.94505,1.5293500000000002,,0.92505,1.5293500000000002,1.80185,,1.10495,1.10495,1.7151500000000002,,1.0235500000000002,1.0235500000000002,1.6374500000000003,,0.97585,0.97585,1.5750500000000005,,0.94505,0.94505,1.5293500000000002,,0.92505,1.5293500000000002
71,Hf,72.0,-7.184111902368577e-19,-4.751014442489279e-19,-3.0690173824410243e-19,-4.751014442489279e-19,8.448161966137894e-20,1.1016012572333277e-18,9.028265258208e-20,1.0893759606636481e-18,1.6561500000000002,,0.95435,0.95435,1.5831500000000005,,0.91825,0.91815,1.52625,,0.89295,0.89295,1.4823500000000005,,0.87415,0.87415,1.4484500000000002,,0.86005,0.86005,1.74605,,0.95435,0.95435,1.64095,,0.91825,0.91815,1.5596500000000002,,0.89295,0.89295,1.50005,,0.87415,0.87415,1.4568500000000002,,0.86005,0.86005
72,Ta,73.0,-7.4296775130385945e-19,-6.61612426852877e-19,-3.964217547546817e-19,-6.61612426852877e-19,-5.1393740455193604e-20,1.1905375687593131e-18,-4.73138777888448e-20,1.1410028979156864e-18,1.5698500000000002,,0.86845,0.8683500000000001,1.5045500000000005,,0.84945,0.84945,1.4502500000000005,,0.8341500000000001,0.8341500000000001,1.4266500000000002,,0.8351500000000001,0.8350500000000001,1.3881500000000002,,0.82165,0.82165,1.6722500000000002,,0.86845,0.8683500000000001,1.58065,,0.84945,0.84945,1.5010500000000002,,0.8341500000000001,0.8341500000000001,1.4267500000000002,,0.8351500000000001,0.8350500000000001,1.38735,,0.82165,0.82165
73,W,74.0,-6.475260900028034e-19,-6.475260900028034e-19,-4.0297305495713283e-19,-4.0297305495713283e-19,-7.933682225519635e-20,1.3288154727814788e-18,-1.9768456235740802e-19,1.3210106456158081e-18,1.4987500000000002,,0.8089500000000001,0.8089500000000001,1.43785,,0.79755,0.79755,1.4140500000000005,,0.80005,0.80005,1.3697500000000002,,0.78935,0.78935,1.33485,,0.78025,0.78025,1.6261500000000002,,0.8089500000000001,0.8089500000000001,1.53235,,0.79755,0.79755,1.4279500000000005,,0.80005,0.80005,1.3802500000000002,,0.78935,0.78935,1.3415500000000002,,0.78025,0.78025
74,Re,75.0,-7.676508843239041e-19,-7.676508843239041e-19,-5.477873910047617e-19,-5.477873910047617e-19,8.912331757951241e-20,1.240103385892747e-18,9.771194557272961e-20,1.239049698402163e-18,1.4500500000000005,,0.76295,0.76295,1.38505,,0.75565,0.75565,1.3355500000000002,,0.7493500000000001,0.7493500000000001,1.3098500000000002,,0.7473500000000001,0.7472500000000001,1.2876500000000002,,0.74495,0.74495,1.5497500000000002,,0.76295,0.76295,1.4742500000000005,,0.75565,0.75565,1.40905,,0.7493500000000001,0.7493500000000001,1.3636500000000005,,0.7472500000000001,0.7472500000000001,1.2999500000000002,,0.74495,0.74495
75,Os,76.0,-8.531045765708928e-19,-7.637175407198402e-19,-8.089389758419201e-20,-7.637175407198402e-19,-1.0161491188881896e-19,1.3516220083826885e-18,-9.36744604883136e-20,1.3386874602730942e-18,1.4021500000000002,,0.7281500000000001,0.7281500000000001,1.34095,,0.72165,0.72165,1.2937500000000002,,0.71575,0.71575,1.2709500000000002,,0.71445,0.71445,1.2488500000000002,,0.7120500000000001,0.7120500000000001,1.46985,,0.7281500000000001,0.7281500000000001,1.4027500000000002,,0.72165,0.72165,1.3458500000000002,,0.71575,0.71575,1.3117500000000002,,0.71445,0.71445,1.27795,,0.7120500000000001,0.7120500000000001
76,Ir,77.0,-1.0169880187592833e-18,-8.330629492213057e-19,-7.267473151948801e-21,-8.330629492213057e-19,-2.6250909306719672e-19,1.4657241086348862e-18,-2.703256481678592e-19,1.446581238271008e-18,1.36525,,0.69825,0.69825,1.30415,,0.69205,0.69205,1.2748500000000005,,0.69105,0.69105,1.24625,,0.68875,0.68875,1.2131500000000002,,0.68325,0.68325,1.40695,,0.69825,0.69825,1.3437500000000002,,0.69205,0.69205,1.30635,,0.69105,0.69105,1.2713500000000002,,0.68875,0.68875,1.23405,,0.68325,0.68325
77,Pt,78.0,-9.143461757243521e-19,-8.684326003020864e-19,-8.0879958647591055e-19,-8.684326003020864e-19,-2.983415328450203e-19,1.5344427136008892e-18,-3.0221697380488323e-19,1.43943553054224e-18,1.3299500000000002,,0.6708500000000001,0.67095,1.29245,,0.67035,1.29245,1.26785,,0.66725,0.6676500000000001,1.2432500000000002,,0.6687500000000001,0.6687500000000001,1.20565,,0.66445,0.66445,1.3494500000000005,,0.6708500000000001,0.67095,1.3077500000000002,,0.67035,1.29245,1.25625,,0.66725,0.6676500000000001,1.24795,,0.6687500000000001,0.6687500000000001,1.21215,,0.66445,0.66445
78,Au,79.0,-9.69082937797363e-19,-9.69082937797363e-19,-8.577076300024513e-19,-8.577076300024513e-19,-3.3742857017776734e-19,1.535303819410174e-18,-3.3463221119690884e-19,1.5314901904669245e-18,1.3035500000000002,,0.64585,1.3035500000000002,1.2615500000000002,,0.64515,1.2615500000000002,1.22625,,0.64415,1.22625,1.1987500000000002,,0.6425500000000001,1.1987500000000002,1.17545,,0.64095,0.64095,1.3035500000000002,,0.64585,1.3035500000000002,1.2626500000000005,,0.64515,1.2615500000000002,1.22765,,0.64415,1.22625,1.1989500000000002,,0.6425500000000001,1.1987500000000002,1.17545,,0.64095,0.64095
