,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
66,Ho,67.0,-6.514273900744513e-19,-2.0795771884997765e-19,1.5073277648486398e-20,-2.0795771884997765e-19,-7.995735965994997e-19,9.370061762398469e-19,4.5533699345473935e-19,9.324187280069761e-19,1.9922500000000003,,,0.27625,1.9543500000000005,,,0.27655,1.8292500000000005,,,0.27635,1.75615,,,0.27675,1.7147500000000002,,,0.27795,2.03195,,,0.27625,1.98195,,,0.27655,1.8473500000000005,,,0.27635,1.7917500000000002,,,0.27675,1.6930500000000002,,,0.27795
67,Er,68.0,-6.621555647273281e-19,-4.317673731861504e-19,4.25762415211392e-20,-4.317673731861504e-19,-5.867874301342009e-19,2.950618129732737e-20,5.210390523205056e-19,9.478605062782464e-19,1.98195,,,1.98195,1.99615,,,0.26975,1.80595,,,0.26915,1.7427500000000002,,,0.26955,1.69955,,,0.26915,1.99975,,,1.98195,2.00535,,,0.26975,1.81385,,,0.26915,1.7655500000000002,,,0.26955,1.6947500000000002,,,0.26915
68,Tm,69.0,-6.718519376364096e-19,-6.485803222192898e-19,6.902817753054719e-20,-6.485803222192898e-19,3.391275663140941e-19,4.213840189968969e-19,3.884589369493056e-19,7.929140052806785e-19,2.17285,,,0.26305,1.99105,,,0.26285,1.7871500000000002,,,0.26255,1.7551500000000002,,,0.26265,1.6739500000000005,,,1.6739500000000005,2.17275,,,0.26305,1.99345,,,0.26285,1.78395,,,0.26255,1.78635,,,0.26265,1.68135,,,1.6739500000000005
69,Yb,70.0,-6.800054144596609e-19,-6.800054144596609e-19,2.84210110763712e-20,2.84210110763712e-20,3.7598953277045604e-19,9.735445190352993e-19,3.721039180041793e-19,9.736411302835393e-19,1.9402500000000005,,,2.14515,1.87025,,,1.6539500000000005,1.76825,,,1.76825,1.6968500000000002,,,1.6968500000000002,1.6415500000000005,,,1.6415500000000005,1.94055,,,2.14515,1.8675500000000005,,,1.6539500000000005,1.76825,,,1.76825,1.71375,,,1.6968500000000002,1.6504500000000002,,,1.6415500000000005
70,Lu,71.0,-7.813847423174018e-19,-1.8164196785333765e-19,-4.5561096565689606e-20,-1.8164196785333765e-19,2.6619068666653687e-19,7.117747663761229e-19,2.7398341739314563e-19,6.953542664869249e-19,1.7776500000000002,,1.1486500000000002,1.1486500000000002,1.6980500000000005,,1.0493500000000002,1.0493500000000002,1.6306500000000002,,0.99425,0.99425,1.57665,,0.95845,0.95845,1.5353500000000002,,0.93465,1.5353500000000002,1.81585,,1.1486500000000002,1.1486500000000002,1.72605,,1.0493500000000002,1.0493500000000002,1.6465500000000002,,0.99425,0.99425,1.58275,,0.95845,0.95845,1.5353500000000002,,0.93465,1.5353500000000002
71,Hf,72.0,-8.253564796752576e-19,-4.432117207885247e-19,-1.3242630641560325e-19,-4.432117207885247e-19,8.477730135153277e-20,1.0280479401038182e-18,8.96706211129344e-20,1.0172972388470978e-18,1.6664500000000002,,0.95865,0.95875,1.5914500000000005,,0.92335,0.92345,1.5326500000000003,,0.8983500000000001,0.8983500000000001,1.4872500000000002,,0.8794500000000001,0.8794500000000001,1.4525500000000002,,0.86475,0.86475,1.7697500000000002,,0.95865,0.95875,1.6565500000000002,,0.92335,0.92345,1.5689500000000005,,0.8983500000000001,0.8983500000000001,1.50585,,0.8794500000000001,0.8794500000000001,1.4608500000000002,,0.86475,0.86475
72,Ta,73.0,-8.491183611383426e-19,-7.102513047071231e-19,-1.980178150945344e-19,-7.102513047071231e-19,-1.2963412912865241e-19,1.3403581139204217e-18,-1.263027873709056e-19,1.3322066558419584e-18,1.58085,,0.8663500000000001,0.8663500000000001,1.5133500000000002,,0.8491500000000001,0.8491500000000001,1.4571500000000002,,0.83485,0.8349500000000001,1.41155,,0.8228500000000001,0.8228500000000001,1.37545,,0.8127500000000001,0.8127500000000001,1.69935,,0.8663500000000001,0.8663500000000001,1.60105,,0.8491500000000001,0.8491500000000001,1.51445,,0.83485,0.8349500000000001,1.4461500000000005,,0.8228500000000001,0.8228500000000001,1.3947500000000002,,0.8127500000000001,0.8127500000000001
73,W,74.0,-8.39827338914323e-19,-8.39827338914323e-19,-2.54001070578528e-19,-2.54001070578528e-19,-4.833814930783594e-20,1.3872378338979144e-18,-5.11382733826944e-20,1.4896028848927297e-18,1.5109500000000002,,0.8056500000000001,0.8056500000000001,1.4653500000000002,,0.8018500000000001,0.8018500000000001,1.4238500000000005,,0.7976500000000001,0.79755,1.3766500000000002,,0.78795,0.78795,1.3837500000000005,,0.7857500000000001,0.7857500000000001,1.6606500000000002,,0.8056500000000001,0.8056500000000001,1.6043500000000002,,0.8018500000000001,0.8018500000000001,1.49605,,0.7976500000000001,0.79755,1.42785,,0.78795,0.78795,1.4207500000000002,,0.7857500000000001,0.7857500000000001
74,Re,75.0,-8.651994078813119e-19,-8.651994078813119e-19,-2.85179427619296e-19,-2.85179427619296e-19,2.996516647439055e-19,1.2019755396681657e-18,3.0745769353152003e-19,1.2032170182779716e-18,1.4585500000000002,,0.75995,0.75985,1.3922500000000002,,0.7534500000000001,0.7534500000000001,1.3418500000000002,,0.74775,0.74775,1.3152500000000005,,0.74585,0.74585,1.29245,,0.74375,0.74365,1.5771500000000005,,0.75995,0.75985,1.4991500000000002,,0.7534500000000001,0.7534500000000001,1.42915,,0.74775,0.74775,1.39295,,0.74585,0.74585,1.33445,,0.74375,0.74365
75,Os,76.0,-9.608541586729344e-19,-5.9112306424416e-19,4.6373400112435193e-20,-5.9112306424416e-19,2.1453737750057963e-20,1.2687320069792402e-18,2.86517245097664e-20,1.2553181998097664e-18,1.40925,,0.72485,0.72485,1.34655,,0.7190500000000001,0.7190500000000001,1.29805,,0.71385,0.71385,1.2609500000000002,,0.7091500000000001,0.7091500000000001,1.2326500000000002,,0.7049500000000001,0.7049500000000001,1.4929500000000002,,0.72485,0.72485,1.4218500000000005,,0.7190500000000001,0.7190500000000001,1.36055,,0.71375,0.71385,1.31055,,0.7091500000000001,0.7091500000000001,1.2707500000000005,,0.7049500000000001,0.7049500000000001
76,Ir,77.0,-1.088533215761107e-18,-7.433795106954049e-19,-5.803596417056257e-19,-7.433795106954049e-19,-2.383992188333207e-19,1.4296530887057612e-18,-1.136007311212032e-19,1.41996908459952e-18,1.3739500000000002,,0.69525,0.69525,1.35725,,0.69935,0.69935,1.29665,,0.69265,0.69265,1.2505500000000005,,0.6868500000000001,0.6868500000000001,1.21605,,0.6817500000000001,0.6817500000000001,1.4264500000000002,,0.69525,0.69525,1.42985,,1.35725,0.69935,1.36265,,0.69265,0.69265,1.3052500000000002,,0.6868500000000001,0.6868500000000001,1.2587500000000005,,0.6817500000000001,0.6817500000000001
77,Pt,78.0,-9.169128626708736e-19,-9.169128626708736e-19,-5.848825863061442e-19,-5.848825863061442e-19,-2.3470631386474563e-19,1.6162262037434684e-18,-3.682026179325312e-19,1.608152739595584e-18,1.40565,,0.67795,0.67795,1.3241500000000002,,0.67225,1.3241500000000002,1.3395500000000002,,0.67255,0.67255,1.2735500000000002,,0.66755,0.66755,1.2248500000000002,,0.66335,0.66335,1.44995,,1.40565,0.67795,1.3736500000000005,,0.67225,1.3241500000000002,1.3395500000000002,,0.67255,0.67255,1.2808500000000005,,0.66755,0.66755,1.2345500000000005,,0.66335,0.66335
78,Au,79.0,-1.0754818850080705e-18,-1.0754818850080705e-18,-6.53832257182272e-19,-6.53832257182272e-19,-2.9120406032193624e-19,1.4821429903269336e-18,-2.905178801198016e-19,1.4805025216865856e-18,1.3198500000000002,,0.64495,1.3198500000000002,1.2732500000000002,,0.64425,1.2732500000000002,1.23555,,0.64335,1.23555,1.2150500000000002,,0.64185,1.2150500000000002,1.19535,,0.64025,0.64025,1.3198500000000002,,0.64495,1.3198500000000002,1.2909500000000005,,0.64425,1.2732500000000002,1.26255,,0.64335,1.23555,1.2250500000000002,,0.64185,1.2150500000000002,1.19535,,0.64025,0.64025
79,Hg,80.0,-1.2123766620190849e-18,-1.2123766620190849e-18,-1.55923828736256e-20,-1.55923828736256e-20,3.053712429925922e-19,1.6424147899501273e-18,3.1006603707018235e-19,1.6412793434072449e-18,1.22195,1.97395,0.61565,1.97395,1.1969500000000002,1.87485,0.6153500000000001,1.87485,1.1742500000000002,,0.61485,1.1742500000000002,1.14735,,0.61415,1.14735,1.1263500000000002,,0.6133500000000001,1.1263500000000002,1.20385,1.97395,0.61565,1.97395,1.1890500000000002,1.87485,0.6153500000000001,1.87485,1.1742500000000002,,0.61485,1.1742500000000002,1.15705,,0.61415,1.14735,1.14085,,0.6133500000000001,1.1263500000000002
80,Tl,81.0,-1.5993119290020097e-18,-3.6008599117155843e-19,-1.7895191330701441e-19,-3.6008599117155843e-19,1.9969769723173174e-20,7.673456376456329e-19,2.2252631086291204e-20,7.607038464961154e-19,1.12735,1.74405,0.59065,1.74405,1.1156500000000005,1.65115,0.59045,1.65115,1.1044500000000002,1.5699500000000002,0.5901500000000001,1.5699500000000002,1.0938500000000002,1.5036500000000002,0.58965,1.5036500000000002,1.0840500000000002,1.44555,0.5890500000000001,1.0840500000000002,1.11265,1.74405,0.59065,1.74405,1.1059500000000002,1.65115,0.59045,1.65115,1.09885,1.5699500000000002,0.5901500000000001,1.5699500000000002,1.0913500000000005,1.5036500000000002,0.58965,1.5036500000000002,1.0840500000000002,1.44555,0.5890500000000001,1.0840500000000002
